"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 23 00:48:17 ART 2023","Fri Jun 23 00:48:18 ART 2023","1260","","go to login user","","","","finish checkout",""
"passed","Fri Jun 23 00:48:12 ART 2023","Fri Jun 23 00:48:14 ART 2023","2118","","go to login user","","","","shopping user",""
"passed","Fri Jun 23 00:46:54 ART 2023","Fri Jun 23 00:46:55 ART 2023","1304","","go to login user","","","","navbar user",""
"passed","Fri Jun 23 00:48:08 ART 2023","Fri Jun 23 00:48:12 ART 2023","3428","","go to login user","","","","navigate in home page",""
"passed","Sat Jun 17 19:40:34 ART 2023","Sat Jun 17 19:40:38 ART 2023","3440","","login to user","","","","verify login process",""
"passed","Tue Jun 20 23:16:00 ART 2023","Tue Jun 20 23:16:02 ART 2023","2803","","go to login user","","","","verify login process",""
"passed","Sat Jun 17 19:40:34 ART 2023","Sat Jun 17 19:40:51 ART 2023","16721","","login to user","","","","""before all"" hook",""
"passed","Fri Jun 23 00:48:18 ART 2023","Fri Jun 23 00:48:19 ART 2023","704","","go to login user","","","","logout of user",""
"passed","Fri Jun 23 00:48:00 ART 2023","Fri Jun 23 00:48:02 ART 2023","1750","","go to login user","","","","succes process",""
"unknown","Fri Jun 23 00:46:55 ART 2023","Fri Jun 23 00:47:02 ART 2023","6596","","go to login user","","","","go to footer",""
"failed","Fri Jun 23 00:31:47 ART 2023","Fri Jun 23 00:31:50 ART 2023","2858","","go to login user","","","","verify login process block",""
"passed","Mon Jun 19 02:02:24 ART 2023","Mon Jun 19 02:02:27 ART 2023","3092","","go to login user","","","","verify login succes process",""
"passed","Fri Jun 23 00:32:01 ART 2023","Fri Jun 23 00:32:05 ART 2023","3538","","go to login user","","","","logout finish flow",""
"passed","Fri Jun 23 00:31:50 ART 2023","Fri Jun 23 00:31:53 ART 2023","3476","","go to login user","","","","verify login problem process",""
"passed","Fri Jun 23 00:31:53 ART 2023","Fri Jun 23 00:32:01 ART 2023","7878","","go to login user","","","","verify login performance process",""
"passed","Fri Jun 23 00:48:14 ART 2023","Fri Jun 23 00:48:17 ART 2023","2886","","go to login user","","","","checkout user",""
"passed","Fri Jun 23 00:31:23 ART 2023","Fri Jun 23 00:31:29 ART 2023","5642","","go to login user","","","","wrong password of login process",""
"passed","Fri Jun 23 00:48:06 ART 2023","Fri Jun 23 00:48:08 ART 2023","1917","","go to login user","","","","home page user",""
"passed","Mon Jun 19 02:02:33 ART 2023","Mon Jun 19 02:02:34 ART 2023","1298","","go to login user","","","","verify login block process",""
"failed","Sat Jun 17 18:53:32 ART 2023","Sat Jun 17 18:53:33 ART 2023","632","","My Login application","","","","should login with valid credentials",""
"passed","Fri Jun 23 00:48:00 ART 2023","Fri Jun 23 00:48:06 ART 2023","6614","","go to login user","","","","""before all"" hook",""
"passed","Fri Jun 23 00:48:18 ART 2023","Fri Jun 23 00:48:18 ART 2023","343","","go to login user","","","","back home",""
